idPropType,Title,SortKey,FormatString,Type,Flags,Description
1,"Approaches - GCA","""","{0} GCA Approach(es)",0,4096,"The subset of total approaches which were GCA approaches"
2,"Approaches - ILS","""","{0} ILS Approach(es)",0,4096,"The subset of total approaches which were ILS approaches"
3,"Approaches - JPLAS","""","{0} JPLAS Approach(es)",0,4096,"The subset of total approaches which were JPLAS approaches"
4,"Approaches - LAAS","""","{0} LAAS Approach(es)",0,4096,"The subset of total approaches which were LAAS approaches"
5,"Approaches - LDA","""","{0} LDA Approach(es)",0,4096,"The subset of total approaches which were LDA approaches"
6,"Approaches - Localizer","""","{0} Localizer Approach(es)",0,4096,"The subset of total approaches which were localizer approaches"
7,"Approaches - MLS","""","{0} MLS Approach(es)",0,4096,"The subset of total approaches which were MLS approaches"
8,"Approaches - NDB","""","{0} NDB Approach(es)",0,4096,"The subset of total approaches which were NDB approaches"
9,"Approaches - PAR","""","{0} PAR Approach(es)",0,4096,"The subset of total approaches which were PAR approaches"
10,"Approaches - RNAV/GPS","""","{0} RNAV/GPS Approach(es)",0,4096,"The subset of total approaches which were RNAV/GPS approaches"
11,"Approaches - SDF","""","{0} SDF Approach(es)",0,4096,"The subset of total approaches which were SDF approaches"
12,"Approaches - SRA/ASR","""","{0} SRA/ASR Approach(es)",0,4096,"The subset of total approaches which were SRA/ASR approaches"
13,"Approaches - TACAN","""","{0} TACAN Approach(es)",0,4096,"The subset of total approaches which were TACAN approaches"
14,"Approaches - VOR","""","{0} VOR Approach(es)",0,4096,"The subset of total approaches which were VOR approaches"
15,"Banner Towing Time","""","Banner Towing Time: {0}",1,0,"Time on flight spent towing a banner"
16,"Landings - Carrier","""","{0} Carrier Landing(s)",0,0,"Subset of total landings that were on an aircraft carrier"
17,"Agricultural Time","""","Agricultural Time: {0}",1,0,"Time spent in agricultural activies such as crop-dusting"
18,"Glider-towing Time","""","Glider towing: {0}",1,0,"Flight time spent towing gliders"
19,Go-arounds,"""","{0} Go-Around(s)",0,0,"Number of go-arounds on the flight"
20,"Landings - Short Field","""","{0} Short-field landing(s)",0,0,"Subset of total landings that were on short fields"
21,"Landings - Soft Field","""","{0} Soft-field landing(s)",0,0,"Subset of total landings that were on soft fields (e.g., grass or gravel)"
22,"Maneuvers: Chandelles","""",Chandelle(s),2,0,"Chandelles were performed on this flight"
23,"Mountain Flying Time","""","Mountain Flying time: {0}",1,0,"Time spent over mountainous terrain"
