"Date","Flight ID","Model","ICAO Model","Tail Number","Aircraft ID","Category/Class","Approaches","Hold","Landings","FS Night Landings","FS Day Landings","X-Country","Night","IMC","Simulated Instrument","Ground Simulator","Dual Received","CFI","SIC","PIC","Total Flight Time","CFI Time (HH:MM)","SIC Time (HH:MM)","PIC (HH:MM)","Total Flight Time (HH:MM)","Route","Flight Properties","Comments","Hobbs Start","Hobbs End","Engine Start","Engine End","Engine Time","Flight Start","Flight End","Flying Time","Complex","Constant-speed prop","Flaps","Retract","Tailwheel","High Performance","Turbine","Signature State","Date of Signature","CFI Comment","CFI Certificate","CFI Name","CFI Expiration","Public","Solo Time","Landings - Night, towered Airport","Checkride - Instrument","Instructor Name","Checkride - Commercial"
"2018-12-21","6728991","C-152, Cessna","C152","4XALX","60070","ASEL","0","","3","0","0","1.2","","","","","","0.00","0.00","2.00","2.00","","","2:00","2:00","LLHA LLIB LLHH","Solo Time: 2.0","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","2.00","","","",""
"2018-12-14","6705527","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","2","0","0","0.5","","","","","","0.00","0.00","1.40","1.40","","","1:24","1:24","LLHA LLMG LLHA","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-12-11","6682932","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","8","0","0","","0.5","","","","","0.00","0.00","0.00","1.10","","","","1:06","LLHA","Solo Time: 1.1; 4 Night Landing(s) at a Towered Airport","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.10","4","","",""
"2018-12-03","6642763","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","5","0","0","","","","","","","0.00","0.00","1.30","1.30","","","1:18","1:18","LLHA","Solo Time: 1.3","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.30","","","",""
"2018-11-28","6620690","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","5","0","0","","","","","","","0.00","0.00","0.80","0.80","","","0:48","0:48","LLHA","Solo Time: 0.8","","0.00","0.00","","","","2018-11-28 06:25:00Z","2018-11-28 07:15:00Z",".83","","","Yes","","","","","","","","","","","","0.80","","","",""
"2018-11-13","6556684","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","5","0","0","","","","","","","0.00","0.00","1.50","1.50","","","1:30","1:30","LLHA","Solo Time: 1.5","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.50","","","",""
"2018-11-07","6524127","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","2","0","0","0.8","","","","","","0.00","0.00","1.10","1.10","","","1:06","1:06","LLHZ LLSD LLHA","Solo Time: 0.4","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","0.40","","","",""
"2018-10-30","6482301","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","8","0","0","","","","","","","0.00","0.00","0.80","0.80","","","0:48","0:48","LLHA","Solo Time: 0.8","T/P","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","0.80","","","",""
"2018-10-09","6422068","PA28-180, Piper  Archer","P28A","N8948C","173023","ASEL","0","","2","0","0","","","","","","","0.00","0.00","0.50","0.50","","","0:30","0:30","KGAI","Commercial Checkride","DPE Sharif","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","","Yes"
"2018-10-09","6422067","PA28-180, Piper  Archer","P28A","N8948C","173023","ASEL","0","","4","0","0","","","","","","","0.00","0.00","1.20","1.20","","","1:12","1:12","KGAI","Solo Time: 1.2","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.20","","","",""
"2018-10-08","6422066","PA28-180, Piper  Archer","P28A","N8948C","173023","ASEL","0","","4","0","0","","","","","","","0.00","0.00","1.90","1.90","","","1:54","1:54","KGAI KMDT","","DPE Sharif","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-10-05","6422065","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","0","","1","0","0","","","","","","","0.00","0.00","0.40","0.40","","","0:24","0:24","KGAI","","DPE Sharif","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-10-03","6437853","PA28-161, Piper  Warrior","P28A","N8445S","166","ASEL","0","","1","0","0","","","","","","","0.00","0.00","1.50","1.50","","","1:30","1:30","KGAI","Solo Time: 1.5","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","1.50","","","",""
"2018-10-03","6422064","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","0","","1","0","0","","","","","","1.5","0.00","0.00","1.50","1.50","","","1:30","1:30","KGAI","Instructor: Eldad Riech","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","Eldad Riech",""
"2018-10-02","6422063","PA28-181, Piper  Archer II","P28A","N21803","47920","ASEL","0","","3","0","0","","","","","","","0.00","0.00","0.60","0.60","","","0:36","0:36","KGAI","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-10-01","6422062","PA28-181, Piper  Archer II","P28A","N1809H","199396","ASEL","0","","0","0","0","","","","","","1.9","0.00","0.00","1.90","1.90","","","1:54","1:54","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-09-30","6422061","PA28-161, Piper  Cadet","P28A","N80FT","12769","ASEL","0","","0","0","0","","","","","","2.2","0.00","0.00","2.20","2.20","","","2:12","2:12","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-09-29","6437891","PA28-161, Piper  Warrior","P28A","N8445S","166","ASEL","0","","3","0","0","","","","","","2.0","0.00","0.00","2.00","2.00","","","2:00","2:00","KGAI","Instructor: Eldad Riech","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","Eldad Riech",""
"2018-09-28","6422060","PA28-181, Piper  Archer II","P28A","N21803","47920","ASEL","0","","0","0","0","","","","","","1.5","0.00","0.00","1.50","1.50","","","1:30","1:30","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-09-26","6422059","PA28-161, Piper  Warrior","P28A","N2172D","87226","ASEL","0","","0","0","0","","","","","","2.0","0.00","0.00","2.00","2.00","","","2:00","2:00","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-09-25","6422058","PA28-181, Piper  Archer II","P28A","N38657","199395","ASEL","0","","0","0","0","","","","","","1.6","0.00","0.00","1.60","1.60","","","1:36","1:36","","","","0.00","0.00","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-08-12","6422057","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.20","1.20","","","1:12","1:12","","Solo Time: 1.2","","7189.60","7190.50","","","","","","","","","Yes","","","","","","","","","","","","1.20","","","",""
"2018-06-09","6422056","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","1.6","","","","","","0.00","0.00","1.60","1.60","","","1:36","1:36","","","","7159.20","7160.50","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-06-08","6422055","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.90","0.90","","","0:54","0:54","","","","7158.60","7159.20","","","","","","","","","Yes","","","","","","","","","","","","","","","",""
"2018-05-11","6422054","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.60","1.60","","","1:36","1:36","","Solo Time: 0.5","","7143.90","7145.20","","","","","","","","","Yes","","","","","","","","","","","","0.50","","","",""
"2018-03-17","6422053","C-172 P, Cessna  Skyhawk","C172","4XCGC","146461","ASEL","0","","0","0","0","","","","","","","0.00","0.00","0.90","0.90","","","0:54","0:54","","Solo Time: 0.9","","7121.50","7122.00","","","","","","","","","Yes","","","","","","","","","","","","0.90","","","",""
"2018-02-22","6422052","PA28R-201, Piper  Arrow III","P28R","N719JH","163431","ASEL","0","","0","0","0","","","","","","","0.00","0.00","1.10","1.10","","","1:06","1:06","","Solo Time: 1.1","","0.00","0.00","","","","","","","Yes","Yes","Yes","Yes","","","","","","","","","","","1.10","","","",""
