id,RawName,FriendlyName,TypeID,ColumnName,ColumnDescription,ColumnNotes
1,DATE,Date/Time,5,NULL,"Date and Time for the sample","Should ideally be in UTC ISO 8601 format (yyyy-MM-ddThh:mm:ssZ for UTC)"
2,TIME,Date/Time,5,NULL,"Synonym for Date",NULL
3,LAT,Latitude,4,NULL,"Latitude for the sample","Must be -90 < LAT < 90"
4,LON,Longitude,4,NULL,"Longitude for the sample","Must be -180 < LON < 180"
5,PALT,"Pressure Altitude",0,ALT,"Pressure Altitude for the data point","Generally assumed to be ft. Must be > -200"
6,E1,EGT1,0,NULL,"Exhaust Gas Temperature, Cylinder 1",NULL
7,E2,EGT2,0,NULL,"Exhaust Gas Temperature, Cylinder 2",NULL
8,E3,EGT3,0,NULL,"Exhaust Gas Temperature, Cylinder 3",NULL
9,E4,EGT4,0,NULL,"Exhaust Gas Temperature, Cylinder 4",NULL
10,E5,EGT5,0,NULL,"Exhaust Gas Temperature, Cylinder 5",NULL
11,E6,EGT6,0,NULL,"Exhaust Gas Temperature, Cylinder 6",NULL
12,C1,CHT1,0,NULL,"Cylinder 1 Head Temperature",NULL
13,C2,CHT2,0,NULL,"Cylinder 2 Head Temperature",NULL
14,C3,CHT3,0,NULL,"Cylinder 3 Head Temperature",NULL
15,C4,CHT4,0,NULL,"Cylinder 4 Head Temperature",NULL
16,C5,CHT5,0,NULL,"Cylinder 5 Head Temperature",NULL
17,C6,CHT6,0,NULL,"Cylinder 6 Head Temperature",NULL
18,OILT,"Oil Temperature",0,NULL,"Oil Temperature",NULL
19,OILP,"Oil Pressure",0,NULL,"Oil Pressure",NULL
20,RPM,RPM,0,NULL,"Rotations Per Minute (Propeller speed)",NULL
21,OAT,"Outside Air Temperature",0,NULL,"Outside Air Temperature",NULL
22,MAP,"Manifold Pressure",1,NULL,"Manifold Pressure",NULL
23,FF,"Fuel Flow",1,NULL,"Fuel Flow",NULL
24,USED,"Fuel Used",1,NULL,"Fuel Used",NULL
25,AMPL,"Amperage (Left)",0,NULL,"Amperage (Left)",NULL
26,AMPR,"Amperage (Right)",0,NULL,"Amperage (Right)",NULL
